source_path	source_sha256	source_size_bytes	checkpoint_relative_path	checkpoint_sha256	role
/tmp/iturkmen_track_b_40J3A_dcb_official_full_20260805_v1_wd4LS1/dcb_official_threshold_full_summary.json	44be06cf722421aac7c7b0031211b62a7908bda02927fa95a9aaeb2cdf07aea1	3936	evidence/official_threshold/summary.json	44be06cf722421aac7c7b0031211b62a7908bda02927fa95a9aaeb2cdf07aea1	accepted official-threshold summary
/tmp/iturkmen_track_b_40J3A_dcb_official_full_20260805_v1_wd4LS1/zh_official_full_dcb_events.tsv	34a9b69b40c96cc2b2559479eae775f1ee25bd7d41cbe0777f68a85e3be31c29	54019	evidence/official_threshold/zh_events.tsv	91ecfdee376af56a3534d0304ee320de14d3cc6f5d38d59c7776799f3414468b	accepted official-threshold ZH event table; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
/tmp/iturkmen_track_b_40J3A_dcb_official_full_20260805_v1_wd4LS1/zz_official_full_dcb_events.tsv	d8c537a2b92f433ecb5b070748bbe5651c87567ae393dda59ccf9fe7e7fb321b	19480	evidence/official_threshold/zz_events.tsv	1c3b684f5235cc19bf5ff2dcbf40d1d6c207a29263cb707594712a987719f639	accepted official-threshold ZZ event table; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
/tmp/iturkmen_track_b_40J3A_R1_posthoc_acceptance_20260805_v1_qo1h45/40J3A_posthoc_acceptance_receipt.json	fbc0c0796b6f4958074f0cf825d30f61e1d370515c7afec1fa90e2a42f3b400d	1823	evidence/official_threshold/posthoc_acceptance_receipt.json	fbc0c0796b6f4958074f0cf825d30f61e1d370515c7afec1fa90e2a42f3b400d	post-hoc acceptance after unrelated repository advance
/tmp/iturkmen_track_b_40J3B_dcb_audit_threshold_preflight_20260805_v1_BBeaMC/40J3B_dcb_pathology_threshold_preflight.json	633e790f135588a542189f30953c0527a7fdf39da0ca99bc221949eb049f9b5d	36878	evidence/pathology_audit/audit.json	633e790f135588a542189f30953c0527a7fdf39da0ca99bc221949eb049f9b5d	DCB pathology and threshold preflight summary
/tmp/iturkmen_track_b_40J3B_dcb_audit_threshold_preflight_20260805_v1_BBeaMC/dcb_issue_events.tsv	145d2d079ad867e192578aaa4ceec422c80e906eb0d93126f67c4397eb97dee6	30929	evidence/pathology_audit/issue_events.tsv	9ec0c52d606484ae3c1a3a882052a592607641a026d98d54c76ab11bb0044bea	event-level pathology inventory; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
/tmp/iturkmen_track_b_40J3B_dcb_audit_threshold_preflight_20260805_v1_BBeaMC/dcb_parameter_statistics.tsv	b6ed057f2e15733ebc8b4fb110e0147bca04ff9112c5de01cf04935bb7f7964b	11901	evidence/pathology_audit/parameter_statistics.tsv	b162d6b6d5b4b8ac4acc7c00da0d4facdc72c2e2f50a7c951f76560664c819ed	fit-parameter robust statistics; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
/tmp/iturkmen_track_b_40J3B_dcb_audit_threshold_preflight_20260805_v1_BBeaMC/dcb_top_background_amplitudes.tsv	17c4f23963cae16c30422560ba5c3ce27f74533ff6e9535d3f3395be96b2f610	8162	evidence/pathology_audit/top_background_amplitudes.tsv	d974b638412c404b204dfc52b8af4afaf24c0abae3c50a413f2f5c6e9f2f3b85	largest background-amplitude solutions; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
/tmp/iturkmen_track_b_40J3B_dcb_audit_threshold_preflight_20260805_v1_BBeaMC/threshold_population_census.tsv	e75bd65b9fedfad9ce08b766256947f3ac52cc0148414e62a631a9828b52506a	1248	evidence/pathology_audit/threshold_population_census.tsv	44d6b3d339f09cfe23359e2b7fc2b7501cf33600021f487b5deebf58883f348e	exact threshold population census; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
/tmp/iturkmen_track_b_40J3C_nested_threshold_dcb_20260805_v1_N6wQ2w/40J3C_nested_threshold_dcb_summary.json	4307c5fbd5938c5799ba91476acefe050dc8d0ef97f3f8a067aa16726bd241f6	13729	evidence/nested_threshold/summary.json	4307c5fbd5938c5799ba91476acefe050dc8d0ef97f3f8a067aa16726bd241f6	exhaustive nested-threshold summary
/tmp/iturkmen_track_b_40J3C_nested_threshold_dcb_20260805_v1_N6wQ2w/combined_p_signal_gt_0p8_dcb_events.tsv	c07443494b6e66ce3d3a17a77fdb29e4bf7bd9fc14869dfb45f905084e1b96c8	170463	evidence/nested_threshold/combined_events.tsv	6fa6872269d480b6bc4e6ff10a6f5851f4f75cb3e32bd93f53d1360f8dc163da	combined accepted and incremental event-level results; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
/tmp/iturkmen_track_b_40J3C_nested_threshold_dcb_20260805_v1_N6wQ2w/incremental_band_materialization_receipt.json	d08122b29564238ec594b71e7dd52a9cef553016295348de6f669e9502e79a10	1909	evidence/nested_threshold/incremental_materialization_receipt.json	d08122b29564238ec594b71e7dd52a9cef553016295348de6f669e9502e79a10	disjoint incremental-band materialization receipt
/tmp/iturkmen_track_b_40J3C_nested_threshold_dcb_20260805_v1_N6wQ2w/nested_threshold_dcb_summary.tsv	839a46734312c53e23e2fd979cb82aa07468ac42d769bf4c5cb02b659e3e1342	2448	evidence/nested_threshold/threshold_summary.tsv	a2d2a161994f61c450409188ad0f912080b093232dcb7ba7e5700e7340358db9	compact nested-threshold result table; Git copy LF-normalized with checkpoint-wide semantic-equivalence receipt
