campaign	local_shard	inner_shard	seed	immutable_split	generated_events	candidate_rows	analysis_sample	source_root	source_root_index	candidate_parquet	candidate_parquet_sha256	remote_bundle	training_authorized	validation_authorized	test_sealed	physics_yield_authorized	status
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	20	16020	86020	train	1000	74	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851531_shard_16020_1000_pythia8_delphes.root	30	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard020_train_v2_hh4b_candidates.parquet	5eaaed39b58e8cee3214d1667c964deb98d6b0b83cb1ead1b5ca95c9f7c9e195	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	21	16021	86021	train	1000	74	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16021_1000_pythia8_delphes.root	31	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard021_train_v2_hh4b_candidates.parquet	f59acb604a11212f1cee72e7e2a0ce7a2ef6845de0affc96e86d4d6d05a9d0be	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard021_seed86021_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	22	16022	86022	train	1000	58	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16022_1000_pythia8_delphes.root	32	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard022_train_v2_hh4b_candidates.parquet	7ee3c1daa5523767ca6d0a22aff1725af000b15f206adb3a949cc9704d670b7f	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard022_seed86022_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	23	16023	86023	train	1000	64	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16023_1000_pythia8_delphes.root	33	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard023_train_v2_hh4b_candidates.parquet	066ff9871b9ca6ce9aaf45a5266dc2d1c30dc973cd4ce4dd0bd4abf5164e22d6	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard023_seed86023_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	24	16024	86024	train	1000	47	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16024_1000_pythia8_delphes.root	34	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard024_train_v2_hh4b_candidates.parquet	7188a6cad125289faaac3cecee440c898243be2f74b00f9df17a71aa19b9510f	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard024_seed86024_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	25	16025	86025	train	1000	54	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16025_1000_pythia8_delphes.root	35	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard025_train_v2_hh4b_candidates.parquet	00976ca816f52d4fd609303de1fd4403bfd748b960784be07479f77545b379f7	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard025_seed86025_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	26	16026	86026	train	1000	43	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16026_1000_pythia8_delphes.root	36	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard026_train_v2_hh4b_candidates.parquet	54d8feb7c364bb65c66278130d6eb2f79fc9c88aa43b8c4fb06601f3c62cddb9	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard026_seed86026_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	27	16027	86027	train	1000	74	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16027_1000_pythia8_delphes.root	37	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard027_train_v2_hh4b_candidates.parquet	8bcc51105a0284cd872ead073a704f43486a656d78208cea5a947492f185381d	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard027_seed86027_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	28	16028	86028	train	1000	63	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16028_1000_pythia8_delphes.root	38	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard028_train_v2_hh4b_candidates.parquet	caf5c6be5100bd7cde7616293a321ee79b9b165681403cb4fe60ea1429396531	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard028_seed86028_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	29	16029	86029	train	1000	54	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16029_1000_pythia8_delphes.root	39	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard029_train_v2_hh4b_candidates.parquet	20d156320a5582fed1c86741722de2497772ff5c1ed61de5a5137f753884ebc4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard029_seed86029_bundle.tar.gz	True	False	False	False	pass
