family	physics_yield_authorized	training_authorized	count_toward_5m	overlap_group	normalization_group	normalization_rule	physics_cross_section_pb	branching_fraction	filter_efficiency	policy_status	review_note
qcd_bbbb_general	False	False	False	REVIEW_REQUIRED	qcd_bbbb_general	REVIEW_REQUIRED				review_required	No automatic promotion. Review lineage, overlap, normalization, and training role.
qcd_bbbb_iht400to600	False	False	False	REVIEW_REQUIRED	qcd_bbbb_iht400to600	REVIEW_REQUIRED				review_required	No automatic promotion. Review lineage, overlap, normalization, and training role.
ttbar_inclusive	False	True	False	ttbar	ttbar_inclusive	higher_order_reference_xsec_pending		1.0	1.0	valid_legacy_promotion_review_required	Valid legacy production. Do not count toward 5M until lineage and promotion are explicitly approved.
tth_hbb	False	True	True	ttH	tth_hbb	decay_chain_generator_xsec_diagnostic;reference_xsec_times_Hbb_BR_pending		1.0	1.0	counted_generation_normalization_pending	MG5 decay-chain cross section is diagnostic. Do not multiply Hbb branching fraction again unless physics_cross_section_pb is an inclusive ttH cross section.
tttt	False	True	True	tttt	tttt	inclusive_generator_xsec_diagnostic;higher_order_reference_xsec_pending		1.0	1.0	counted_generation_normalization_pending	Use an approved higher-order four-top cross section before authorizing physical yields.
ttz_zbb	False	True	True	ttZ	ttz_zbb	decay_chain_generator_xsec_diagnostic;reference_xsec_times_Zbb_BR_pending		1.0	1.0	counted_generation_normalization_pending	MG5 decay-chain cross section is diagnostic. Freeze the ttZ normalization convention before yields.
vbf_hbb	False	True	True	vbf_hbb	vbf_hbb	decay_chain_generator_xsec_diagnostic;reference_xsec_times_Hbb_BR_pending		1.0	1.0	counted_generation_normalization_pending	Inclusive VBF Hbb reference is training-authorized. Any heavy-flavor enrichment must remain a separate stratum.
zbbbb	False	True	False	zjets_hf	zbbbb_ml_enrichment	training_only_until_overlap_and_stitching_frozen				ml_enrichment_training_only	Do not use for physical yields or 5M physical accounting until overlap with inclusive Z+jets is resolved.
zh4b_forced	False	False	False	REVIEW_REQUIRED	zh4b_forced	REVIEW_REQUIRED				review_required	No automatic promotion. Review lineage, overlap, normalization, and training role.
zz4b_forced	False	False	False	REVIEW_REQUIRED	zz4b_forced	REVIEW_REQUIRED				review_required	No automatic promotion. Review lineage, overlap, normalization, and training role.
