claim	source	verification_method_this_phase
holdout_A already opened, exactly once, 2026-08-13	phase4M_holdout_a_adjudication_20260813_v1/HOLDOUT_A_ADJUDICATION_RESULT.md	read in full, this phase; SHA256SUMS re-verified (324/324 OK)
E0/E1/E2 development (internal_val) results and freeze decision	phase4L_event_transformer_development_training_20260813_v1/DEVELOPMENT_MODEL_FREEZE_DECISION.md, MECHANISM_ABLATION_RESULT.md	read in full, this phase; SHA256SUMS re-verified (922/922 OK)
holdout_A R_B/AUC working-point tables	phase4M_holdout_a_adjudication_20260813_v1/HOLDOUT_A_ADJUDICATION_RESULT.md	transcribed verbatim, this phase; not recomputed
+33%->+31% erratum at eps_S=0.40 (E0->E1, development)	phase4O_trackb_publication_transfer_readiness_20260814_v1/PHASE4L_MECHANISM_ABLATION_ERRATUM.md, VERIFICATION_REPORT.md	read in full, this phase; SHA256SUMS re-verified (22/22 OK); independently double-confirmed by Phase-4O's own from-raw-JSON recomputation, not re-derived a third time here
Track-B E1 mechanism does not transfer to Track A	phase4O_trackb_publication_transfer_readiness_20260814_v1/transfer_audit/TRACKB_TO_TRACKA_TRANSFER_VERDICT.md	read in full, this phase
SPA-Net/ParT/SophonAK4 feasibility gate findings	phase4P_trackb_spanet_part_feasibility_gate_20260814_v1/go_no_go/GO_NO_GO_REPORT.md	read in full, this phase; SHA256SUMS re-verified (12/12 OK)
Official-SPA-Net-baseline naming correction and engineering-canary demotion	phase4Q_trackb_primary_study_preflight_20260814_v1/PRIMARY_STUDY_READINESS_DECISION.md	read in full, this phase; SHA256SUMS re-verified (43/43 OK)
Model registry M01-M10	phase4R_paper_model_comparison_framework_20260814_v1/MODEL_REGISTRY.tsv	listed, not re-transcribed row-by-row, this phase; SHA256SUMS re-verified (16/16 OK)
Official SPA-Net CPU integration verified (topology, HDF5, forward/backward/gradients)	phase4S_official_spanet_integration_canary_20260814_v1/OFFICIAL_SPANET_CANARY_RESULT.md	read in full, this phase; SHA256SUMS re-verified (36/36 OK)
GPU gate blocked (Condor infrastructure), ParT gate blocked (domain mismatch)	phase4T_spanet_gpu_and_part_preflight_20260815_v1/MODEL_REGISTRY_ADDENDUM_PHASE4T.md	read in full, this phase; SHA256SUMS re-verified (7/7 OK)
EAF GPU canary prepared, not yet executed as of 2026-08-15	phase4U_eaf_official_spanet_gpu_canary_20260815_v1/README.md; phase4V_compute_resource_accounting_20260815_v1/MODEL_RESOURCE_SUMMARY.csv	directory listing inspected (no output/result files present beyond scripts), this phase; explicit "no GPU job has executed for any model as of 2026-08-15" statement in 4V read directly; no SHA256SUMS exists in either directory (disclosed as a gap, not fabricated)
holdout_B remains sealed, never materialized	phase4J_development_data_contract_20260813_v1/GGHH_KL1_HOLDOUT_B_SEAL.json; phase4I_cms_tail_population_support_prelaunch/HOLDOUT_B_SEAL.json	filesystem-wide search this phase for any materialized holdout_B tensor/event directory across the entire phase4 root; none found (only file-list seal/manifest artifacts exist)
inference_qcd_1/inference_qcd_2 never opened	grep across phase4 root for "inference_qcd" references	all matches are contract/decision-document mentions stating it was NOT opened; no materialization script output or tensor directory found for either
All phase-directory SHA256SUMS clean (0 mismatches) for 4I-4T	sha256sum -c SHA256SUMS run against every phase4I-4T directory	executed this phase, read-only, output captured; all clean
No SHA256SUMS present for 4U, 4V	directory listing, this phase	confirmed absent; disclosed explicitly in TRACKB_PHASE4_CHRONOLOGY.md and .tsv rather than fabricated
