sample,group,source_root,event_in_file,n_selected_jets,n_selected_btags,is_signal,assignment_mask,truth_available,weight_pb
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,6,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,8,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,14,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,57,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,69,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,83,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,85,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,117,4,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,146,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,152,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,156,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,160,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,269,6,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,276,4,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,277,4,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,285,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,313,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,314,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,331,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,332,4,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,372,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,384,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,394,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,398,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,401,4,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,439,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,444,6,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,455,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,469,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,489,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,493,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,506,6,6,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,541,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,548,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,556,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,569,8,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,584,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,586,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,600,6,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,631,4,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,638,7,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,641,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,656,7,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,712,6,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,721,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,744,6,5,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,748,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,759,6,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,766,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,767,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,787,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,827,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,830,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,847,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,853,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,858,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,863,7,5,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,867,5,5,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,871,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,905,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,923,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,946,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,956,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,959,5,4,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,961,6,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,977,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_pythia8_delphes.root,13,5,4,1,0,1,1.055e-06
