member_index	sample_class	process_or_mode	dataset_split	candidate_rows	resolution_method	layout_rule	bundle_campaign	schema_stratum_key	representative_member_index	schema_stratum_assigned	representative_audit_status
1	signal	ggf_hh4b	train	58	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
2	signal	ggf_hh4b	train	60	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
3	signal	ggf_hh4b	train	65	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
4	signal	ggf_hh4b	train	59	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
5	signal	ggf_hh4b	train	63	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
6	signal	ggf_hh4b	train	62	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
7	signal	ggf_hh4b	train	67	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
8	signal	ggf_hh4b	train	72	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
9	signal	ggf_hh4b	train	77	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
10	signal	ggf_hh4b	train	56	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
