stage	started	completed	exit_evidence	expected_artifact	artifact_found	artifact_sha256	failure_message	first_causal_failure
transfer-in	True	True	event 040 start/finish; TransferInFinished set	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_ttbar8_exact_regeneration_prepare_20260727_v1/hh4b_ttbar8_exact_regeneration_inputs.tar.gz	True	2456f3a0bc9d186598ce97226421ebc95b90957b472621ed7bc315e27e0cbf80		False
environment setup	True	True	both retained ldd logs have no unresolved library	converter_ldd.log and delphes_ldd.log	True			False
MadGraph	True	True	generate_events.log ends INFO: Done; wrapper continued	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/logs/ttbar_100k_shard003_generate_events.log	True	40ac178334c6cec6b5a418394e2f758cd1a528df53b5655bc8b84d1c1d04e1d2		False
LHE generation	True	True	independent retained gzip count=10000	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/lhe/ttbar_100k_shard003_unweighted_events.lhe.gz	True	bb58ad5878433b641af8eeb475e826ed45da0fbec9580aef2cf427a9128c85ff		False
Pythia	True	True	PYTHIA 8.312 log; 10000 tried/selected/accepted	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/logs/ttbar_100k_shard003_lhe_to_hepmc3.log	True	4e281f5c875f5e32daeda99c9fe00937ffb0fc989106019ff41da7f67bbe6b34		False
HepMC production	True	True	Wrote 10000 events message	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/hepmc/ttbar_100k_shard003_pythia8.hepmc	True	1cc9fd2458b61701f9913511bc25d07d8837056c946421defd790f8dc2fac54b		False
Delphes	True	True	retained Delphes log ends ** Exiting...	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/root/ttbar_100k_shard003_pythia8_delphes.root	True	127c87510087d164038b7629ea9d5210008cc4cb1473aa9b069a5cd4b859629e		False
ROOT validation	False	False	wrapper validation is after reconstruction; diagnosis-only serial uproot metadata check observed 10000 entries	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/root/ttbar_100k_shard003_pythia8_delphes.root	True	127c87510087d164038b7629ea9d5210008cc4cb1473aa9b069a5cd4b859629e	not reached after canonical reconstruction exit	False
canonical-72 reconstruction	True	False	ERROR: missing isolated Parquet writer: /srv/payload/repo/scripts/delphes/write_parquet_from_pickle.py	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/parquet/ttbar_100k_shard003_pythia8_delphes_canonical72.parquet	False		ERROR: missing isolated Parquet writer: /srv/payload/repo/scripts/delphes/write_parquet_from_pickle.py	True
receipt generation	False	False	success receipt code follows failed reconstruction	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_20260727_v1/members/ttbar_100k_shard003/receipts/ttbar_100k_shard003_receipt.json	False		not reached; EXIT trap separately recorded exit_status=1	False
transfer-out	True	False	event 040 start then events 021/004/012; 3 declared files missing	13 declared transfer outputs	True		Transfer output files failure at execution point slot1_4@cmswn2224.fnal.gov while sending files to access point lpcschedd4. Details: 3 total failures: first failure: reading from file /storage/local/data1/condor/execute/dir_3198001/output/parquet/ttbar_100k_shard003_pythia8_delphes_canonical72.parquet: (errno 2) No such file or directory	False
