sample_class	process_or_mode	campaign	field	current_status	blocking_for_physical_weight	required_next_action
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
