sample_class	process_or_mode	campaign	members	generated_events_manifest	candidate_rows_metadata	train_members	validation_members	final_evaluation_members	physical_normalization_included	authoritative_physics_weight_authorized_now	model_training_membership_changed	candidate_content_opened	reason	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	10000	344	0	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	4	40000	1371	3	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	1	10000	3	0	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	9	90000	40	8	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	334	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	14	140000	5082	10	3	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	1481	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	14	140000	21619	11	2	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	150	1500000	28	112	38	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	54	500000	27	43	7	4	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	56	500000	24	31	11	14	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	1	10000	2	0	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	8	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	2	20000	13	0	1	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	8	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	27	4	2	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	7	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	17	5	1	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ttbar_inclusive	parquet	27	270000	1020	22	5	0	False	False	False	False	Exact legacy proc_card and run_card were not recovered; physical weighting is forbidden. Provenance-complete EOS ttbar campaigns remain available.	excluded_unresolved_legacy_provenance
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	36	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	740000	2403	58	15	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1189	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	3672	1	1	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1853	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	5913	2	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	48	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	300	3	1	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1104	0	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	3169	3	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	18	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	90	3	2	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	19	0	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	60	5	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	6	0	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	4	40000	24	3	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	5	0	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	33	4	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	0	0	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	30000	0	2	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	5200	14	0	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	20800	33	4	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	2	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	5	3	1	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
