sample_group	remote_path	entry_index	particle_count	used_particle_count	was_truncated	score_set	overall_top1_class	signal_grid_top1_class	signal_probability	qcd_probability	ttbar_probability
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	0	137	137	False	model0	137	107	2.3450405209912104e-09	5.081319254252037e-10	1.0
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	1	222	222	False	model0	137	134	0.608759923475418	0.0011016371427103877	0.3901384174823761
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	2	168	168	False	model0	63	63	0.8907048974997451	0.07498741894960403	0.03430768474936485
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	3	186	186	False	model0	137	134	0.04871390801093867	0.03863152489066124	0.9126545786857605
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	4	70	70	False	model0	137	89	8.444912522023748e-13	1.740849557064529e-14	1.0
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	5	154	154	False	model0	137	17	0.8756395229138434	0.007297889329493046	0.11706259101629257
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	6	235	235	False	model0	137	90	0.00013142917873601445	1.4777145906919031e-07	0.9998685121536255
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	7	168	168	False	model0	116	116	0.9941832118843195	0.0010620509274303913	0.004754706751555204
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	8	90	90	False	model0	136	71	0.40993588482160703	0.5363075733184814	0.05375651642680168
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	9	110	110	False	model0	137	107	1.2465801216742173e-06	1.0698430514821666e-06	0.9999977350234985
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	10	119	119	False	model0	136	134	0.8663647560852041	0.09932958334684372	0.03430570289492607
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	11	139	139	False	model0	136	79	0.9590958311455324	0.03986299782991409	0.0010411327239125967
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	12	92	92	False	model0	64	64	0.989986089296508	0.008298410102725029	0.0017155330860987306
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	13	197	197	False	model0	136	15	0.6279548269176303	0.2555203139781952	0.11652494966983795
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	14	113	113	False	model0	137	15	0.058321107069787104	0.04647521674633026	0.8952036499977112
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	15	143	143	False	model0	137	107	1.7491980758113297e-09	8.394954176260683e-10	1.0
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	16	133	133	False	model0	137	111	0.0004388425646695282	0.00040351698407903314	0.9991576671600342
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	17	208	208	False	model0	137	76	0.5737106309486535	0.0018220144556835294	0.42446738481521606
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	18	156	156	False	model0	137	13	3.3835757481254225e-06	7.919161362224258e-07	0.9999958276748657
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	19	164	164	False	model0	137	134	8.450415092659154e-05	1.5287454857570992e-07	0.999915361404419
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	20	127	127	False	model0	137	132	0.0009816611548157939	7.534868200309575e-05	0.9989431500434875
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	21	169	169	False	model0	137	129	8.32301371379296e-05	2.406572093605064e-05	0.9998928308486938
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	22	103	103	False	model0	137	84	1.651731385867751e-06	1.0327710242563626e-06	0.9999972581863403
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	23	125	125	False	model0	137	49	0.7319617354451111	0.036606013774871826	0.23143227398395538
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	24	135	135	False	model0	137	107	2.1673344158655302e-11	4.0071553930945414e-13	1.0
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	25	99	99	False	model0	137	82	0.4463171044767478	0.07919540256261826	0.4744875133037567
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	26	87	87	False	model0	137	134	7.40684400861616e-08	1.4090104194508513e-08	1.0
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	27	88	88	False	model0	137	107	0.0005846588583995338	0.0002595350088085979	0.9991558790206909
ttH_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	28	90	90	False	model0	137	131	5.2484715775822505e-05	1.835149646467471e-06	0.9999456405639648
