sample_class	process_or_mode	required_quantity	required_provenance	status
signal	ggf_hh4b	sm_hh_production_cross_section_pb	official LHC Higgs Cross Section Working Group	unresolved
signal	ggf_hh4b	branching_fraction_h_to_bb	official SM Higgs branching-ratio recommendation	unresolved
signal	ggf_hh4b	hh_to_bbbb_cross_section_pb	production_xsec * BR(H->bb)^2	unresolved
signal	ggf_hh4b	generated_event_denominator	canonical signal registry	registry_available
signal	ggf_hh4b	mode_specific_event_weight_formula	normalization configuration	unresolved
signal	vbf_hh4b	sm_hh_production_cross_section_pb	official LHC Higgs Cross Section Working Group	unresolved
signal	vbf_hh4b	branching_fraction_h_to_bb	official SM Higgs branching-ratio recommendation	unresolved
signal	vbf_hh4b	hh_to_bbbb_cross_section_pb	production_xsec * BR(H->bb)^2	unresolved
signal	vbf_hh4b	generated_event_denominator	canonical signal registry	registry_available
signal	vbf_hh4b	mode_specific_event_weight_formula	normalization configuration	unresolved
background	bbh_hbb_4fs	generator_cross_section_pb	generator receipt, run metadata, or validated external source	inventory_pending_review
background	bbh_hbb_4fs	filter_efficiency	generator receipt or run metadata; use 1 only when explicitly justified	inventory_pending_review
background	bbh_hbb_4fs	k_factor	validated process-specific source or explicit unity policy	inventory_pending_review
background	bbh_hbb_4fs	generated_denominator_or_sumw	canonical registry and generator metadata	inventory_pending_review
background	bbh_hbb_4fs	event_weight_formula	normalization configuration	unresolved
background	ggh_hbb	generator_cross_section_pb	generator receipt, run metadata, or validated external source	inventory_pending_review
background	ggh_hbb	filter_efficiency	generator receipt or run metadata; use 1 only when explicitly justified	inventory_pending_review
background	ggh_hbb	k_factor	validated process-specific source or explicit unity policy	inventory_pending_review
background	ggh_hbb	generated_denominator_or_sumw	canonical registry and generator metadata	inventory_pending_review
background	ggh_hbb	event_weight_formula	normalization configuration	unresolved
background	qcd_bbbb_general	generator_cross_section_pb	generator receipt, run metadata, or validated external source	inventory_pending_review
background	qcd_bbbb_general	filter_efficiency	generator receipt or run metadata; use 1 only when explicitly justified	inventory_pending_review
background	qcd_bbbb_general	k_factor	validated process-specific source or explicit unity policy	inventory_pending_review
background	qcd_bbbb_general	generated_denominator_or_sumw	canonical registry and generator metadata	inventory_pending_review
background	qcd_bbbb_general	event_weight_formula	normalization configuration	unresolved
background	qcd_bbbb_iht400to600	generator_cross_section_pb	generator receipt, run metadata, or validated external source	inventory_pending_review
background	qcd_bbbb_iht400to600	filter_efficiency	generator receipt or run metadata; use 1 only when explicitly justified	inventory_pending_review
background	qcd_bbbb_iht400to600	k_factor	validated process-specific source or explicit unity policy	inventory_pending_review
background	qcd_bbbb_iht400to600	generated_denominator_or_sumw	canonical registry and generator metadata	inventory_pending_review
background	qcd_bbbb_iht400to600	event_weight_formula	normalization configuration	unresolved
background	qcd_hardqcd	generator_cross_section_pb	generator receipt, run metadata, or validated external source	inventory_pending_review
