member_index	source_member_id	target_tag	dataset_split	generated_events	candidate_path	candidate_bytes	candidate_sha256	candidate_rows	canonical_columns	classification	recovery_source	canonical72_ready	include_in_expanded_v2_manifest	normalization_authorized
324	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_event_summary.parquet	ttbar_100k_shard001	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard001/parquet/ttbar_100k_shard001_pythia8_delphes_canonical72.parquet	65499	f42a8bb61007940b71c3e83870cb234d39806dc7f6ac361adbe20842e3118db3	45	72	canonical72_reconstructed_from_exact_regeneration_scaleout	seven_member_reconstruction_only_recovery	True	True	False
325	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_event_summary.parquet	ttbar_100k_shard002	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard002/parquet/ttbar_100k_shard002_pythia8_delphes_canonical72.parquet	65414	da6054b2d5074ef4dad716e800aa921dcd4076fcb4dd5931060746c2ee86b6c0	45	72	canonical72_reconstructed_from_exact_regeneration_scaleout	seven_member_reconstruction_only_recovery	True	True	False
326	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_event_summary.parquet	ttbar_100k_shard003	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_canary_retry2_20260727_v1/members/ttbar_100k_shard003/parquet/ttbar_100k_shard003_pythia8_delphes_canonical72.parquet	62916	37fb80340351fb487b8bd142943a12c4ba73263ff6deca63d9ff8319991f5125	38	72	canonical72_reconstructed_from_exact_regeneration_canary	retry2_reconstruction_only_canary	True	True	False
327	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_event_summary.parquet	ttbar_100k_shard007	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard007/parquet/ttbar_100k_shard007_pythia8_delphes_canonical72.parquet	65211	554ff2867f5e84634bb0955b5e9c2efab48458761e2ef6734107442ae3b696df	44	72	canonical72_reconstructed_from_exact_regeneration_scaleout	seven_member_reconstruction_only_recovery	True	True	False
328	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_event_summary.parquet	ttbar_100k_shard008	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard008/parquet/ttbar_100k_shard008_pythia8_delphes_canonical72.parquet	65433	c4416a3cd22647e2b4f42669bf3ca4865bc6ef417d619e971ba84e7cc0f5433e	45	72	canonical72_reconstructed_from_exact_regeneration_scaleout	seven_member_reconstruction_only_recovery	True	True	False
329	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_event_summary.parquet	ttbar_100k_shard009	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard009/parquet/ttbar_100k_shard009_pythia8_delphes_canonical72.parquet	60156	36c4094d7808c740b61460dc4a2cb36d20d2189347a2f2cfeece9a044234e6bf	31	72	canonical72_reconstructed_from_exact_regeneration_scaleout	seven_member_reconstruction_only_recovery	True	True	False
330	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_event_summary.parquet	ttbar_200k_shard000	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__000__ttbar_200k_shard000_pythia8_delphes_v2_hh4b_candidates.parquet	62682	489301be2c5f9597234263ae3bf088a8765c83e397ac356955e77c0c29f1f7ef	37	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
331	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_event_summary.parquet	ttbar_200k_shard001	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__001__ttbar_200k_shard001_pythia8_delphes_v2_hh4b_candidates.parquet	63308	788771c68504a24ba2ca686c4b8067dd1d4dd9a9bca5b3521c942c6b6689f298	39	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
332	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_event_summary.parquet	ttbar_200k_shard002	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__002__ttbar_200k_shard002_pythia8_delphes_v2_hh4b_candidates.parquet	61271	93cd725e1e936790b16c824eb765aa8b04ee62cf8b10170da9c5c61c4d5e22f6	33	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
333	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_event_summary.parquet	ttbar_200k_shard004	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__004__ttbar_200k_shard004_pythia8_delphes_v2_hh4b_candidates.parquet	62649	cda9d612358fee7aaf910ffc7bb7f6c26a3d73364573d48cf0442d5a2dbde740	37	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
334	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_event_summary.parquet	ttbar_200k_shard005	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__005__ttbar_200k_shard005_pythia8_delphes_v2_hh4b_candidates.parquet	65782	252c339cc0f5df99f2c51153e93f66edce6051424b41e5588a3458460ec1f808	46	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
335	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_event_summary.parquet	ttbar_200k_shard006	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__006__ttbar_200k_shard006_pythia8_delphes_v2_hh4b_candidates.parquet	57583	83f662c1e418254cad53a3c6c7b2efc25e96233990b7b660e52c8bb3ddc11567	24	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
336	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_event_summary.parquet	ttbar_200k_shard007	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__007__ttbar_200k_shard007_pythia8_delphes_v2_hh4b_candidates.parquet	62963	a93a19b7f3a12598b47bd3f4b047c8cadda53e7f9c64fcff8996873a541f8748	38	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
337	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_event_summary.parquet	ttbar_200k_shard009	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__009__ttbar_200k_shard009_pythia8_delphes_v2_hh4b_candidates.parquet	61609	c263c1b58107d770ba0c7f59d14552c110f7896ea63fd0fe738e233e7359eef0	34	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
338	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_event_summary.parquet	ttbar_200k_shard011	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__011__ttbar_200k_shard011_pythia8_delphes_v2_hh4b_candidates.parquet	61670	78e68082764ff5b2630583df473e4de8ab6f5b27f1ce558a72ee2de92dfa2a71	34	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
339	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard012_event_summary.parquet	ttbar_200k_shard012	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__012__ttbar_200k_shard012_pythia8_delphes_v2_hh4b_candidates.parquet	60420	cedeec5f5056c79b9300243d2926e8a8e7783a87c9f56345aaf21e87344f681f	32	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
340	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard013_event_summary.parquet	ttbar_200k_shard013	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__013__ttbar_200k_shard013_pythia8_delphes_v2_hh4b_candidates.parquet	61733	d82ea5c2936af683fb7c8c34771bb8092023ba97657f331883639dbeef828098	34	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
341	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard014_event_summary.parquet	ttbar_200k_shard014	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__014__ttbar_200k_shard014_pythia8_delphes_v2_hh4b_candidates.parquet	66463	9435e7ae3238d876d3e37364d95b6d6288d6d96b8ed447985a89c7cd4e4183b1	48	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
342	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard016_event_summary.parquet	ttbar_200k_shard016	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__016__ttbar_200k_shard016_pythia8_delphes_v2_hh4b_candidates.parquet	59523	db5735f6ec15f6e5cb88942c61d0d17be668833fcfa4a45e99e977db728d7575	29	72	canonical72_existing_verified	original_recovery_checkpoint	True	True	False
