target_epsilon_sm,model_label,actual_epsilon_sm,threshold_float32,n_sm_pass,tie_block_size,n_qcd_pass,r_qcd_central,s_450,b_qcd_450_central,s_over_b_450_central,s_over_sqrt_b_450_central,z_a_450_central,z_a_450_using_b_qcd_95up_mcstat,s_4000,b_qcd_4000_central,z_a_4000_central,b_qcd_4000_95up,z_a_4000_using_b_qcd_95up_mcstat,support_label,provenance_label
0.50,Step2j BDT-K,0.5,0.63843345642089844,254084,1,11745889,7.4599126553979866,600.77465925750005,85877571.907350197,6.9957108231431051e-06,0.064829358982160259,0.06482928339533113,0.064813727714079061,5340.2191934000002,763356194.73200178,0.19328357947065369,763722659.62833869,0.19323720139126749,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
0.50,Step2j BDT-KF,0.5,0.95109862089157104,254084,1,627956,139.53733382593686,600.77465925750005,4591166.8792930022,0.00013085445923717194,0.28038195940633631,0.28037584486773748,0.28008497372789409,5340.2191934000002,40810372.260382243,0.83591926449856246,40895183.960406609,0.8350520543087222,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
0.50,SPA-Net 2M primary checkpoint,0.5,0.96284818649291992,254084,1,540378,162.15187516886328,600.77465925750005,3950858.9389998564,0.00015206178416726356,0.3022496758793552,0.30224201626061542,0.30190401712802734,5340.2191934000002,35118746.124443166,0.90111159201999513,35197429.094133668,0.90010387330504349,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
0.50,SPA-Net 10M primary checkpoint,0.5,0.9595332145690918,254084,1,577297,151.78202207875668,600.77465925750005,4220784.3637376064,0.00014233720737287314,0.29242535331106639,0.29241841655429479,0.29210202750314312,5340.2191934000002,37518083.23322317,0.87182327638387369,37599406.207751483,0.87087998648420062,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
0.40,Step2j BDT-K,0.40000157428252076,0.69969272613525391,203268,1,7923541,11.058604479991963,480.62161898408993,57931286.596385978,8.2964085077660493e-06,0.063146126474676947,0.063146039161058945,0.063127591585995541,4272.192168747466,514944769.74565315,0.18826511476854271,515245775.8992908,0.18821011471800739,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
0.40,Step2j BDT-KF,0.40000354213567169,0.97222429513931274,203269,2,326933,268.01609504087992,480.62398345670243,2390301.1697442164,0.00020107256338251864,0.31087022433284989,0.31085980729350376,0.31041292795539555,4272.2131862817996,21247121.50883748,0.92680488077456391,21308345.575933777,0.92547254400379386,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
0.40,SPA-Net 2M primary checkpoint,0.40000157428252076,0.97989815473556519,203268,1,271596,322.6236984344394,480.62161898408993,1985716.4510705562,0.00024203940030056816,0.34107091407857881,0.34105715669924147,0.34051926616415135,4272.192168747466,17650812.898404945,1.0168359821235657,17706624.544226933,1.0152323023885153,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
0.40,SPA-Net 10M primary checkpoint,0.40000157428252076,0.97770154476165771,203268,1,293733,298.30936939329257,480.62161898408993,2147566.4233726109,0.00022379825543617201,0.32796688834933913,0.32795465642046884,0.327457288824544,4272.192168747466,19089479.318867654,0.97777187372418151,19147516.858469643,0.97628901005168522,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
0.30,Step2j BDT-K,0.30000118071189058,0.7557375431060791,152451,1,4973517,17.617976574725692,360.46621423806749,36362812.878610432,9.9130453807687481e-06,0.059777235968016061,0.059777137206293185,0.059755095532083947,3204.1441265605999,323225003.36542606,0.17822098972083542,323463502.10950536,0.17815527414529123,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
0.30,Step2j BDT-KF,0.30000118071189058,0.98514986038208008,152451,1,151714,577.55583532172375,360.46621423806749,1109224.6780428223,0.00032497132580397881,0.34225894224765829,0.34224040736679334,0.34151837667607399,3204.1441265605999,9859774.9159361981,1.0203637540260244,9901514.1484634019,1.018211074417986,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
