sample_class	process_or_mode	members	generated_events	candidate_rows_metadata	train_members	validation_members	final_evaluation_members	components	source_kinds	campaigns	energy_tag_inferred_from_path	normalization_strategy	strategy_rationale	physics_normalization_ready
background	bbh_hbb_4fs	5	50000	1715	3	1	1	hbb	remote_bundle_extraction_required	bbh_hbb_4fs_pilot10k_20260722_v1,bbh_hbb_4fs_scaleout40k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	ggh_hbb	10	100000	43	8	1	1	hbb	remote_bundle_extraction_required	ggh_hbb_pilot10k_20260722_v1,ggh_hbb_scaleout90k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	qcd_bbbb_general	15	150000	5416	11	3	1	wavea	remote_bundle_extraction_required	unified_background_5m_wavea_pilots_20260720_retry1,unified_background_5m_wavea_proven111_20260720_v1	run2_13tev	data_driven_control_region_primary_mc_projection_secondary	CMS-like primary treatment requires a lower-b-tag control-region transfer; direct QCD MC normalization is diagnostic only until stitching and closure pass.	False
background	qcd_bbbb_iht400to600	15	150000	23100	12	2	1	wavea	remote_bundle_extraction_required	unified_background_5m_wavea_pilots_20260720_retry1,unified_background_5m_wavea_proven111_20260720_v1	run2_13tev	data_driven_control_region_primary_mc_projection_secondary	CMS-like primary treatment requires a lower-b-tag control-region transfer; direct QCD MC normalization is diagnostic only until stitching and closure pass.	False
background	qcd_hardqcd	261	2510000	81	186	56	19	qcd	remote_bundle_extraction_required	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,qcd_hardqcd_importance_testfill_bin3_10k_20260717	run2_13tev	data_driven_control_region_primary_mc_projection_secondary	CMS-like primary treatment requires a lower-b-tag control-region transfer; direct QCD MC normalization is diagnostic only until stitching and closure pass.	False
background	schannel_single_top	3	30000	21	1	1	1	single_top	remote_bundle_extraction_required	unified_background_5m_single_top_pilot50k_20260722_v1,unified_background_5m_single_top_scaleout280k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	tchannel_antitop	8	80000	35	5	2	1	single_top	remote_bundle_extraction_required	unified_background_5m_single_top_pilot50k_20260722_v1,unified_background_5m_single_top_scaleout280k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	tchannel_top	8	80000	24	6	1	1	single_top	remote_bundle_extraction_required	unified_background_5m_single_top_pilot50k_20260722_v1,unified_background_5m_single_top_scaleout280k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	ttbar_inclusive	102	1020000	3459	81	20	1	ttbar,wavea	local_candidate_parquet,remote_bundle_extraction_required	parquet,unified_background_5m_wavea_pilots_20260720_retry1,unified_background_5m_wavea_proven111_20260720_v1	run2_13tev	theory_normalized_mc_with_top_pt_model_review	Use reviewed inclusive ttbar reference cross section and document any differential correction.	False
background	tth_hbb	4	40000	4861	2	1	1	waveb	remote_bundle_extraction_required	unified_background_5m_waveb_priority_pilots10k_20260721_v1,unified_background_5m_waveb_priority_scale400k_20260721_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	tttt	4	40000	7766	3	0	1	waveb	remote_bundle_extraction_required	unified_background_5m_waveb_priority_pilots10k_20260721_v1,unified_background_5m_waveb_priority_scale400k_20260721_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	ttw	6	60000	348	4	1	1	wavec1	remote_bundle_extraction_required	unified_background_5m_wavec1_pilot40k_20260721_v1,unified_background_5m_wavec1_scaleout180k_20260721_v2	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	ttz_zbb	4	40000	4273	3	0	1	waveb	remote_bundle_extraction_required	unified_background_5m_waveb_priority_pilots10k_20260721_v1,unified_background_5m_waveb_priority_scale400k_20260721_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	tw_antitop	7	70000	108	4	2	1	single_top	remote_bundle_extraction_required	unified_background_5m_single_top_pilot50k_20260722_v1,unified_background_5m_single_top_scaleout280k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	tw_top	7	70000	79	5	1	1	single_top	remote_bundle_extraction_required	unified_background_5m_single_top_pilot50k_20260722_v1,unified_background_5m_single_top_scaleout280k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	vbf_hbb	5	50000	30	3	1	1	waveb	remote_bundle_extraction_required	unified_background_5m_waveb_priority_pilots10k_20260721_v1,unified_background_5m_waveb_priority_scale400k_20260721_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	wh_hbb	6	60000	38	4	1	1	wavec1	remote_bundle_extraction_required	unified_background_5m_wavec1_pilot40k_20260721_v1,unified_background_5m_wavec1_scaleout180k_20260721_v2	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	ww	4	40000	0	2	1	1	wavec1	remote_bundle_extraction_required	unified_background_5m_wavec1_pilot40k_20260721_v1,unified_background_5m_wavec1_scaleout180k_20260721_v2	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	wwz_zbb	5	26000	47	4	0	1	triboson	remote_bundle_extraction_required	final_background_triboson_zbb_pilot10k_20260722_v1,final_background_triboson_zbb_scaleout40k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	wz_zbb	6	60000	7	4	1	1	wavec1	remote_bundle_extraction_required	unified_background_5m_wavec1_pilot40k_20260721_v1,unified_background_5m_wavec1_scaleout180k_20260721_v2	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	wzz_zbb	5	16500	81	4	0	1	triboson	remote_bundle_extraction_required	final_background_triboson_zbb_pilot10k_20260722_v1,final_background_triboson_zbb_scaleout40k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	zbbbb	25	250000	7284	19	5	1	wavea	remote_bundle_extraction_required	unified_background_5m_wavea_pilots_20260720_retry1,unified_background_5m_wavea_proven111_20260720_v1,unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
background	zzz_zbb	5	7500	73	3	1	1	triboson	remote_bundle_extraction_required	final_background_triboson_zbb_pilot10k_20260722_v1,final_background_triboson_zbb_scaleout40k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize to a reviewed process-matched reference cross section after decay/filter conventions are resolved.	False
signal	ggf_hh4b	100	100000	6112	80	17	3	signal	local_path	ggf_hh4b_ml_ext20k_frozen_v2_20260716,ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	run2_13tev	theory_normalized_mc	Normalize generated HH signal to reviewed higher-order reference cross section.	False
signal	vbf_hh4b	10	100000	6283	7	2	1	signal	eos_lfn	vbf_hh4b_sm_pilot10k_20260722_v1,vbf_hh4b_sm_scaleout90k_20260722_v1	run2_13tev	theory_normalized_mc	Normalize generated HH signal to reviewed higher-order reference cross section.	False
