sample_class	process_or_mode	campaign	artifact_type	requirement	purpose	recovered	artifact_path	sha256	review_status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_banner_or_lhe_init	Required	Generator-reported cross section, event-weight strategy, and process metadata.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	proc_card	Required	Exact hard-process definition and decay syntax.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	run_card	Required	Beam energy, cuts, matching/merging, event normalization, and generation settings.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	param_card	Required	Masses, widths, couplings, and decay tables used at generation.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_stdout_or_summary	Required	Cross-section integration result, accepted events, and filter information.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	sum_generator_weights_record	Required	Normalization denominator, including signed-weight handling.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	parton_shower_card	Required	Shower version, tune, forced decays, and matching configuration.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	delphes_card_and_version	Required	Detector-response provenance for the projection.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	importance_sampling_record	Conditional	Required for biased-tail or phase-space-enhanced campaigns.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	stitching_definition	Conditional	Required for overlapping inclusive, sliced, or filtered campaigns.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generator_banner_or_lhe_init	Required	Generator-reported cross section, event-weight strategy, and process metadata.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	proc_card	Required	Exact hard-process definition and decay syntax.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	run_card	Required	Beam energy, cuts, matching/merging, event normalization, and generation settings.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	param_card	Required	Masses, widths, couplings, and decay tables used at generation.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generator_stdout_or_summary	Required	Cross-section integration result, accepted events, and filter information.	False			pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	sum_generator_weights_record	Required	Normalization denominator, including signed-weight handling.	False			pending
