sample_class	process_or_mode	normalization_strategy	collision_energy_GeV	collision_energy_status	generated_events_manifest	generated_events_status	normalization_denominator	normalization_denominator_status	generator_process_definition	generator_process_definition_status	matrix_element_generator	matrix_element_generator_status	matrix_element_generator_version	matrix_element_generator_version_status	parton_shower_generator	parton_shower_generator_status	parton_shower_version	parton_shower_version_status	parton_shower_tune	parton_shower_tune_status	pdf_set	pdf_set_status	generator_order	generator_order_status	generator_cross_section_pb	generator_cross_section_pb_status	generator_cross_section_uncertainty_pb	generator_cross_section_uncertainty_pb_status	reference_cross_section_pb	reference_cross_section_pb_status	reference_cross_section_order	reference_cross_section_order_status	reference_cross_section_source	reference_cross_section_source_status	k_factor	k_factor_status	forced_decay_definition	forced_decay_definition_status	branching_fraction_convention	branching_fraction_convention_status	branching_fraction_factor	branching_fraction_factor_status	filter_definition	filter_definition_status	filter_efficiency	filter_efficiency_status	sum_generator_weights	sum_generator_weights_status	sum_abs_generator_weights	sum_abs_generator_weights_status	negative_weight_fraction	negative_weight_fraction_status	importance_sampling_definition	importance_sampling_definition_status	stitching_group	stitching_group_status	stitching_phase_space	stitching_phase_space_status	overlap_removal_policy	overlap_removal_policy_status	authoritative_physics_ready	blocking_reason
background	bbh_hbb_4fs	theory_normalized_mc	13000	path_inferred_requires_generator_confirmation	50000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved_or_not_applicable		unresolved		unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	ggh_hbb	theory_normalized_mc	13000	path_inferred_requires_generator_confirmation	100000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved_or_not_applicable		unresolved		unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	qcd_bbbb_general	data_driven_control_region_primary_mc_projection_secondary	13000	path_inferred_requires_generator_confirmation	150000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved	qcd_multijet_overlap_review	preclassified_requires_proof		unresolved		blocking_unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	qcd_bbbb_iht400to600	data_driven_control_region_primary_mc_projection_secondary	13000	path_inferred_requires_generator_confirmation	150000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved	qcd_multijet_overlap_review	preclassified_requires_proof		unresolved		blocking_unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	qcd_hardqcd	data_driven_control_region_primary_mc_projection_secondary	13000	path_inferred_requires_generator_confirmation	2510000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved	qcd_multijet_overlap_review	preclassified_requires_proof		unresolved		blocking_unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	schannel_single_top	theory_normalized_mc	13000	path_inferred_requires_generator_confirmation	30000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved_or_not_applicable		unresolved		unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	tchannel_antitop	theory_normalized_mc	13000	path_inferred_requires_generator_confirmation	80000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved_or_not_applicable		unresolved		unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	tchannel_top	theory_normalized_mc	13000	path_inferred_requires_generator_confirmation	80000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved_or_not_applicable		unresolved		unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	ttbar_inclusive	theory_normalized_mc_with_top_pt_model_review	13000	path_inferred_requires_generator_confirmation	1020000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved_or_not_applicable		unresolved		unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
background	tth_hbb	theory_normalized_mc	13000	path_inferred_requires_generator_confirmation	40000	known_from_frozen_source_registry		unresolved_do_not_assume_generated_event_count		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved		unresolved_or_not_applicable		unresolved		unresolved	False	Generator definition, cross-section provenance, decay/filter convention, normalization denominator, and overlap policy are not yet fully resolved.
